time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-06-25,26.3,19.5,0.1,13.2,91
2015-06-25,28.8,19.2,0.4,12.4,87
2015-06-25,27.0,19.3,2.2,13.7,91
2015-06-25,28.8,19.2,0.4,12.4,87
2015-06-25,27.4,16.9,0.0,14.1,90
2015-06-25,27.4,16.8,0.0,14.1,90
2015-06-25,25.7,19.1,8.2,11.5,94
2015-06-25,29.6,15.6,0.0,14.3,86
2015-06-25,27.6,19.7,0.0,20.8,87
2015-06-25,25.7,19.1,8.2,11.5,94
2015-06-26,23.6,20.6,0.0,41.8,78
2015-06-26,25.7,17.7,0.0,21.7,85
2015-06-26,25.8,19.8,0.3,9.7,87
2015-06-26,24.7,16.8,0.0,14.0,88
2015-06-26,25.0,17.1,0.0,13.1,88
2015-06-27,22.8,18.9,2.0,17.8,75
2015-06-27,22.9,19.0,2.0,17.8,75
2015-06-27,26.9,16.5,1.3,11.6,85
2015-06-27,26.7,16.3,1.3,11.6,85
2015-06-27,26.7,16.3,1.3,11.6,85
2015-06-27,24.5,19.9,2.7,18.9,66
2015-06-27,27.5,18.9,0.3,21.1,68
2015-06-28,28.5,14.9,0.0,10.8,91
2015-06-28,25.3,19.8,0.0,17.1,77
2015-06-28,25.3,19.8,0.0,17.1,77
2015-06-28,27.1,16.3,0.0,8.8,84
2015-06-28,27.3,16.5,0.0,8.8,84
2015-06-28,28.4,18.0,0.0,12.3,84
2015-06-28,28.4,20.4,0.0,8.0,69
2015-06-28,28.4,20.5,0.0,8.0,69
2015-06-28,28.4,18.1,0.0,12.3,84
2015-06-28,27.8,17.4,0.0,12.3,83
2015-06-29,25.4,18.3,0.0,19.1,88
2015-06-29,27.3,20.2,0.3,10.7,82
2015-06-29,27.4,20.3,0.3,10.7,82
2015-06-29,26.5,20.1,0.0,10.4,83
2015-06-29,27.4,17.9,0.0,13.1,91
2015-06-29,27.8,18.5,0.1,11.2,92
2015-06-30,29.5,20.6,7.2,8.3,87
2015-06-30,27.8,19.3,4.9,9.4,94
2015-06-30,25.4,20.1,0.0,14.8,86
2015-06-30,28.1,18.4,10.0,7.7,90
2015-06-30,29.3,20.4,7.2,8.3,88
2015-06-30,29.5,20.6,7.2,8.3,87
2015-06-30,28.3,19.3,7.2,8.3,94
2015-06-30,27.7,19.2,4.9,9.4,94
2015-06-30,25.7,18.5,1.9,11.3,97
2015-06-30,29.5,20.6,7.2,8.3,87
2015-06-30,28.2,18.6,10.0,7.7,90
2015-06-30,29.2,20.3,7.2,8.3,88
2015-07-01,27.4,19.5,0.2,14.2,95
2015-07-01,23.1,21.0,0.0,38.6,86
2015-07-01,24.7,20.4,0.1,20.2,86
2015-07-01,26.3,19.1,2.0,13.7,91
2015-07-01,25.7,18.0,2.0,13.7,95
2015-07-01,27.4,19.5,0.2,14.2,95
2015-07-01,23.1,21.0,0.0,38.6,86
2015-07-02,30.0,16.6,0.0,9.0,89
2015-07-02,29.1,17.2,0.0,8.9,88
2015-07-02,27.7,19.2,0.0,16.4,95
2015-07-02,27.9,18.0,0.0,16.9,92
2015-07-02,29.0,19.9,0.0,24.1,86
2015-07-02,27.9,20.0,0.0,19.8,76
2015-07-02,27.7,19.8,0.0,19.8,76
2015-07-02,27.6,17.7,0.0,16.9,92
2015-07-03,27.1,22.8,0.1,12.3,80
2015-07-03,27.8,17.6,0.0,15.4,89
2015-07-03,25.7,21.6,0.0,20.9,78
2015-07-03,28.6,18.2,0.0,16.3,76
